ATC;MEGNEV;ANGOL;HATOANYAG
R03AL08;vilanterol, umeclidinium bromide and fluticasone furoate;vilanterol, umeclidinium bromide and fluticasone furoate;vilanterol, umeclidinium bromide and fluticasone furoate
V03AE10;sodium zirconium cyclosilicate;sodium zirconium cyclosilicate;sodium zirconium cyclosilicate
A10BJ06;semaglutide;semaglutide;semaglutide
J07BK03;zoster, purified antigen;zoster, purified antigen;zoster, purified antigen
L01XC27;olaratumab;olaratumab;olaratumab
A10BJ;glucagon-like peptide-1 (GLP-1) analógjai_x000d_;glucagon-like peptide-1 (GLP-1) analogues;
J05AR21;dolutegravir és rilpivirine;dolutegravir és rilpivirine;dolutegravir és rilpivirine
R03AL09;formoterol, glycopyrronium bromide and beclometasone;formoterol, glycopyrronium bromide and beclometasone;formoterol, glycopyrronium bromide and beclometasone
C07FX04;bisoprolol and acetylsalicylic acid;bisoprolol and acetylsalicylic acid;bisoprolol and acetylsalicylic acid
J05AP54;elbasvir és grazoprevir;elbasvir és grazoprevir;elbasvir és grazoprevir
J05AR20;emtricitabine, tenofovir alafenamide and bictegravir;emtricitabine, tenofovir alafenamide and bictegravir;emtricitabine, tenofovir alafenamide and bictegravir
A16AA07;metreleptin;metreleptin;metreleptin
N05AX16;brexpiprazole;brexpiprazole;brexpiprazole
J05AP;HCV-fertőzés elleni antiviralis szerek;;
L01XE42;ribociclib;ribociclib;ribociclib
L01XE41;binimetinib;binimetinib;binimetinib
G03GA30;combinations;combinations;combinations
B01AX07;caplacizumab;caplacizumab;caplacizumab
L01XY01;cytarabine and daunorubicin;cytarabine and daunorubicin;cytarabine and daunorubicin
J05AP51;sofosbuvir and ledipasvir;sofosbuvir and ledipasvir;sofosbuvir and ledipasvir
A07AA12;fidaxomicin;fidaxomicin;fidaxomicin
J05AE11;telaprevir;telaprevir;telaprevir
H01CB05;pasireotide;pasireotide;pasireotide
J05AE12;boceprevir;boceprevir;boceprevir
J05AE14;simeprevir;simeprevir;simeprevir
L01XC12;brentuximab vedotin;brentuximab vedotin;brentuximab vedotin
L01XC13;pertuzumab;pertuzumab;pertuzumab
J05AX15;sofosbuvir;sofosbuvir;sofosbuvir
L01XE16;crizotinib;crizotinib;crizotinib
L01CD04;cabazitaxel;cabazitaxel;cabazitaxel
R03BB07;umeclidinium bromide;umeclidinium bromide;umeclidinium bromide
A10AE56;degludek inzulin és liraglutid;insulin degludec and liraglutide;degludek inzulin és liraglutid
R03AL05;aklidinium-bromid és formoterol;aclidinium bromide, formoterol;aklidinium-bromid és formoterol
A10BX14;dulaglutid;dulaglutide;dulaglutid
J05AP56;sofosbuvir, velpatasvir és voxilaprevir;sofosbuvir, velpatasvir és voxilaprevir;sofosbuvir, velpatasvir és voxilaprevir
J01XA04;dalbavancin;dalbavancin;dalbavancin
J04AK05;bedaquiline;bedaquiline;bedaquiline
C09DX04;valsartan and sacubitril;valsartan and sacubitril;valsartan and sacubitril
J01DI02;ceftaroline fosamil;ceftaroline fosamil;ceftaroline fosamil
J01DI54;ceftolozane and enzyme inhibitor;ceftolozane and enzyme inhibitor;ceftolozane and enzyme inhibitor
L01XC17;nivolumab;nivolumab;nivolumab
L01XE26;cabozantinib;cabozantinib;cabozantinib
L04AC11;siltuximab;siltuximab;siltuximab
J05AR18;emtricitabine, tenofovir alafenamide, elvitegravir and cobicistat;emtricitabine, tenofovir alafenamide, elvitegravir and cobicistat;emtricitabine, tenofovir alafenamide, elvitegravir and cobicistat
L01XC24;daratumumab;daratumumab;daratumumab
D03AX11;sodium chlorite;sodium chlorite;sodium chlorite
V01XX52;venetoklax;;venetoklax
V01XX;;;
L01XE43;brigatinib;brigatinib;brigatinib
J05AR24;lamivudine, tenofovir disoproxil and doravirine;lamivudine, tenofovir disoproxil and doravirine;lamivudine, tenofovir disoproxil and doravirine
J05AG06;doravirine;doravirine;doravirine
L01XC25;mogamulizumab;mogamulizumab;mogamulizumab
R07AX31;ivacaftor and tezacaftor;ivacaftor and tezacaftor;ivacaftor and tezacaftor
B06AC05;lanadelumab;lanadelumab;lanadelumab
J01DH52;meropenem and vaborbactam;meropenem and vaborbactam;meropenem and vaborbactam
L01XE50;abemaciclib;abemaciclib;abemaciclib
J05AX18;letermovir;letermovir;letermovir
L01XC31;avelumab;avelumab;avelumab
V10XX04;lutetium (177lu) oxodotreotide;lutetium (177lu) oxodotreotide;lutetium (177lu) oxodotreotide
J01AA13;eravacycline;eravacycline;eravacycline
A10BK04;ertugliflozin;ertugliflozin;ertugliflozin
A10BD24;sitagliptin és ertugliflozin;sitagliptin and ertugliflozin;sitagliptin és ertugliflozin
A10BD23;metformin és ertugliflozin;metformin and ertugliflozin;metformin és ertugliflozin
R03AL07;formoterol and glycopyrronium bromide;formoterol and glycopyrronium bromide;formoterol and glycopyrronium bromide
L02BB05;apalutamide;apalutamide;apalutamide
V04CD06;macimorelin;macimorelin;macimorelin
L01XE45;neratinib;neratinib;neratinib
A10BK;sodium-glucose co-transporter 2 (SGLT2) inhibitorok;sodium-glucose co-transporter 2 (SGLT2) inhibitors;
G04BD12;mirabegron;mirabegron;mirabegron
V09IX07;fluoromethylcholine (18f);fluoromethylcholine (18f);fluoromethylcholine (18f)
G03XX01;prasterone;prasterone;prasterone
S01FB51;phenylephrine and ketorolac;phenylephrine and ketorolac;phenylephrine and ketorolac
V03AB38;andexanet alfa;andexanet alfa;andexanet alfa
L01XE47;dacomitinib;dacomitinib;dacomitinib
R02AX03;benzydamine;benzydamine;benzydamine
C10BX14;rozuvasztatin, amlodipin és perindopril;rosuvastatin, amlodipine and perindopril;rozuvasztatin, amlodipin és perindopril
A10BD25;metformin, szaxagliptin és dapagliflozin;metformin, saxagliptin and dapagliflozin;metformin, szaxagliptin és dapagliflozin
J05AP57;glecaprevir és pibrentasvir;glecaprevir and pibrentasvir;glecaprevir és pibrentasvir
J05AH03;peramivir;peramivir;peramivir
A10BK06;szotagliflozin;sotagliflozin;szotagliflozin
A16AB19;pegvaliase;pegvaliase;pegvaliase
V03AF11;arginin és lizin;arginine and lysine;arginin és lizin
L01XE54;gilteritinib;gilteritinib;gilteritinib
L04AA40;cladribine;cladribine;cladribine
J05AP01;ribavirin;ribavirin;ribavirin
A07AA13;rifamicin;rifamycin;rifamicin
N07BB05;nalmefene;nalmefene;nalmefene
N02BG09;methoxyflurane;methoxyflurane;methoxyflurane
B02BX09;fosztamatinib;fostamatinib;fosztamatinib
N06BA14;szolriamfetol;solriamfetol;szolriamfetol
L04AA42;sziponimod;siponimod;sziponimod
H02CA02;oszilodrosztát;osilodrostat;oszilodrosztát
S01LA06;brolucizumab;brolucizumab;brolucizumab
D03AX13;nyírfakéreg;betulae cortex;nyírfakéreg
L03AG;;;
C09BB03;lisinopril és amlodipin;;lisinopril és amlodipin
C01BD07;dronedarone;dronedarone;dronedarone
M05BD;;;
C02KX05;riociguat;riociguat;riociguat
V09IX06;sodium fluoride (18f);sodium fluoride (18f);sodium fluoride (18f)
C07AB57;bisoprolol, combinations;bisoprolol, combinations;bisoprolol, combinations
M09AB02;collagenase clostridium histolyticum;collagenase clostridium histolyticum;collagenase clostridium histolyticum
V03AE04;calcium acetate and magnesium carbonate;calcium acetate and magnesium carbonate;calcium acetate and magnesium carbonate
C09DX03;olmesartan medoxomil, amlodipine and hydrochlorothiazide;olmesartan medoxomil, amlodipine and hydrochlorothiazide;olmesartan medoxomil, amlodipine and hydrochlorothiazide
B06AC01;c1-inhibitor, plasma derived;c1-inhibitor, plasma derived;c1-inhibitor, plasma derived
B06AC02;icatibant;icatibant;icatibant
D11AH04;alitretinoin;alitretinoin;alitretinoin
D06BB12;sinecatechins;sinecatechins;sinecatechins
L01XE27;ibrutinib;ibrutinib;ibrutinib
L01XC18;pembrolizumab; pembrolizumab;pembrolizumab
N07BC05;levomethadone;levomethadone;levomethadone
L04AC13;ixekizumab;ixekizumab;ixekizumab
C07FX05;metoprolol and ivabradine;metoprolol and ivabradine;metoprolol and ivabradine
R03AK13;salbutamol and beclometasone;salbutamol and beclometasone;salbutamol and beclometasone
P01BF;Artemisinin and derivatives, combinations;;
L01XX52;venetoclax;venetoclax;venetoclax
A10AE54;insulin glargine and lixisenatide;insulin glargine and lixisenatide;insulin glargine and lixisenatide
N02AJ14;tramadol és dexketoprofen;tramadol and dexketoprofen;tramadol és dexketoprofen
A16AX12;trientine;trientine;trientine
L01XD07;padeliporfin;padeliporfin;padeliporfin
C10BX13;rosuvastatin, perindopril and indapamide;rosuvastatin, perindopril and indapamide;rosuvastatin, perindopril and indapamide
J05AR22;emtricitabine, tenofovir alafenamide, darunavir and cobicistat;emtricitabine, tenofovir alafenamide, darunavir and cobicistat;emtricitabine, tenofovir alafenamide, darunavir and cobicistat
A10BJ01;exenatide;exenatide;exenatide
A16AB18;vestronidase alfa;vestronidase alfa;vestronidase alfa
L01XC32;atezolizumab;atezolizumab;atezolizumab
L04AC17;tildrakizumab;tildrakizumab;tildrakizumab
L03AB15;ropeginterferon alfa-2b;ropeginterferon alfa-2b;ropeginterferon alfa-2b
B02BX07;lusutrombopag;lusutrombopag;lusutrombopag
A06AH05;naldemedine;naldemedine;naldemedine
N02CX07;erenumab;erenumab;erenumab
G03XX;Other sex hormones and modulators of the genital system;;
J05AR25;lamivudine és dolutegravir;lamivudine and dolutegravir;lamivudine és dolutegravir
L01XX60;talazoparib;talazoparib;talazoparib
B02BX08;avatrombopag;avatrombopag;avatrombopag
N03AX24;kannabidiol;cannabidiol;kannabidiol
C01CX09;angiotenzin ii;angiotenzin ii;angiotenzin ii
J05AX23;ibalizumab;ibalizumab;ibalizumab
G03AC10;drospirenon;drospirenone;drospirenon
N05CF04;eszopiclone;eszopiclone;eszopiclone
A07DA06;eluxadolin;eluxadoline;eluxadolin
M05BX06;romosozumab;romosozumab;romosozumab
N06AX27;eszketamin;esketamine;eszketamin
J01MA23;delafloxacin;delafloxacin;delafloxacin
R03AK11;formoterol és flutikazon;formoterol and fluticasone;formoterol és flutikazon
N07BA04;citizin;cytisine;citizin
R02AA21;oktenidin;octenidine;oktenidin
D11AH06;krizaborol;crisaborole;krizaborol
L02BB06;daroutamid;daroutamide;daroutamid
C10AX15;bempedoinsav;bempedoic acid;bempedoinsav
L01XE56;entrectinib;entrectinib;entrectinib
L04AA44;upadacitinib;upadacitinib;upadacitinib
L01XX63;glaszdegib;glasdegib;glaszdegib
R03AK14;indakaterol és mometazon;indacaterol and mometasone;indakaterol és mometazon
R03AL12;indakaterol, glikopirrónium-bromid és mometazon;indacaterol, glycopyrronium bromide and mometasone;indakaterol, glikopirrónium-bromid és mometazon
L04AA41;imlifidáz;imlifidase;imlifidáz
L01XX65;alpelizib;alpelisib;alpelizib
B03XA06;luszpatercept;luspatercept;luszpatercept
J05AP08;szofoszbuvir;sofosbuvir;szofoszbuvir
J01XX12;lefamulin;lefamulin;lefamulin
L04AA38;ozanimod;ozanimod;ozanimod
N02AJ06;kodein és paracetamol;codeine and paracetamol;kodein és paracetamol
L01EB03;afatinib;afatinib;afatinib
G04BE10;avanafil;avanafil;avanafil
M05BB09;ibandronsav és kolekalciferol;ibandronic acid and colecalciferol;ibandronsav és kolekalciferol
J07BX02;ebola vakcina;ebola vaccines;ebola vakcina
B06AX01;krizanlizumab;crizanlizumab;krizanlizumab
L01EX18;avapritinib;avapritinib;avapritinib
L04AA45;filgotinib;filgotinib;filgotinib
L01XC37;polatuzumab-vedotin;polatuzumab vedotin;polatuzumab-vedotin
N03AX26;fenfluramin;fenfluramine;fenfluramin
J07CA09;diphteria-hemophilus influenzae b-pertussis-poliomyelitis-tetanus-hepatitis b;diphteria-hemophilus influenzae b-pertussis-poliomyelitis-tetanus-hepatitis b;diphteria-hemophilus influenzae b-pertussis-poliomyelitis-tetanus-hepatitis b
L04AA16;afelimomab;afelimomab;afelimomab
M01AH04;parecoxib;parecoxib;parecoxib
J04AB05;rifapentin;rifapentin;rifapentin
J04AM05;rifampicin, pyrazinamide and isoniazid;rifampicin, pyrazinamide and isoniazid;rifampicin, pyrazinamide and isoniazid
V09XA03;iodine(131i) human albumin;iodine(131i) human albumin;iodine(131i) human albumin
V03AA03;acamprosate;acamprosate;acamprosate
V03AN04;nitrogen;nitrogen;nitrogen
A11CC07;paricalcitol;paricalcitol;paricalcitol
C02KX02;ambrisentan;ambrisentan;ambrisentan
C09BA15;zofenopril and diuretics;zofenopril and diuretics;zofenopril and diuretics
C10BA01;lovastatin and nicotonic acid;lovastatin and nicotonic acid;lovastatin and nicotonic acid
N06AX23;desvenlafaxine;desvenlafaxine;desvenlafaxine
R03DX07;roflumilast;roflumilast;roflumilast
S01AX22;moxifloxacin;moxifloxacin;moxifloxacin
S01ED55;carteolol, combinations;carteolol, combinations;carteolol, combinations
J01DA24;cefepime;cefepime;cefepime
R05AX;;;
B01AX06;rivaroxaban;rivaroxaban;rivaroxaban
D01AF;;;
J01BC;;;
V01XA;;;
V09AH;;;
C10BX01;simvastatin and acetylsalicylic acid;simvastatin and acetylsalicylic acid;simvastatin and acetylsalicylic acid
C10BX02;pravastatin and acetylsalicylic acid;pravastatin and acetylsalicylic acid;pravastatin and acetylsalicylic acid
D06BA05;sulfanilamide;sulfanilamide;sulfanilamide
D06BA06;sulfamerazine;sulfamerazine;sulfamerazine
D09AA13;iodoform;iodoform;iodoform
D11AX18;diclofenac;diclofenac;diclofenac
G03CX;egyéb oestrogenek;other estrogens;
G03CX01;tibolone;tibolone;tibolone
J01DC11;ceforanide;ceforanide;ceforanide
J01DD16;cefditoren;cefditoren;cefditoren
J01MA18;pazufloxacin;pazufloxacin;pazufloxacin
V08CA11;gadofosveset;gadofosveset;gadofosveset
J05FA10;;;
M02A010;;;
G02CP03;;;
J01RA04;spiramycin, combinations with other antibacterials;spiramycin, combinations with other antibacterials;spiramycin, combinations with other antibacterials
J05AB15;brivudine;brivudine;brivudine
J05AF11;telbivudine;telbivudine;telbivudine
J05AR03;tenofovir disoproxil and emtricitabine;tenofovir disoproxil and emtricitabine;tenofovir disoproxil and emtricitabine
J05AR05;zidovudine, lamivudine and nevirapine;zidovudine, lamivudine and nevirapine;zidovudine, lamivudine and nevirapine
J05AR06;emtricitabine, tenofovir disoproxil and efavirenz;emtricitabine, tenofovir disoproxil and efavirenz;emtricitabine, tenofovir disoproxil and efavirenz
J07BM;papillomaviros vakcinák;papillomavirus vaccines;
J07BM01;papillomavirus (human types 6, 11, 16, 18);papillomavirus (human types 6, 11, 16, 18);papillomavirus (human types 6, 11, 16, 18)
J07CA12;diphtheria-pertussis-poliomyelitis-tetanus-hepatitis b;diphtheria-pertussis-poliomyelitis-tetanus-hepatitis b;diphtheria-pertussis-poliomyelitis-tetanus-hepatitis b
L01BB07;nelarabine;nelarabine;nelarabine
L01XC08;panitumumab;panitumumab;panitumumab
L01XD06;efaproxiral;efaproxiral;efaproxiral
L01XE02;gefitinib;gefitinib;gefitinib
L03AB60;ribavirin, combinations;ribavirin, combinations;ribavirin, combinations
L03AX14;histamine dihydrochloride;histamine dihydrochloride;histamine dihydrochloride
L04AA22;abetimus;abetimus;abetimus
L04AA23;natalizumab;natalizumab;natalizumab
L04AB;tumor necrosis faktor alpha inhibitorok;tumor necrosis factor alpha (tnf-?) inhibitors;
L04AB01;etanercept;etanercept;etanercept
L04AB02;infliximab;infliximab;infliximab
L04AB03;afelimomab;afelimomab;afelimomab
L04AB04;adalimumab;adalimumab;adalimumab
L04AC01;daclizumab;daclizumab;daclizumab
L04AC03;anakinra;anakinra;anakinra
L04AD02;tacrolimus;tacrolimus;tacrolimus
L04AX04;lenalidomide;lenalidomide;lenalidomide
M02AA25;aceclofenac;aceclofenac;aceclofenac
M04AA03;febuxostat;febuxostat;febuxostat
N01AX63;nitrous oxid kombinációi;nitrous oxide, combinations;nitrous oxid kombinációi
N03AF03;rufinamide;rufinamide;rufinamide
N03AX17;stiripentol;stiripentol;stiripentol
N04BA04;melevodopa;melevodopa;melevodopa
N04BC08;piribedil;piribedil;piribedil
N05CH;melatonin receptor agonisták;melatonin receptor agonists;
N05CM18;dexmedetomidine;dexmedetomidine;dexmedetomidine
N06AX22;agomelatine;agomelatine;agomelatine
N06BA10;fenetylline;fenetylline;fenetylline
N07XX06;tetrabenazine;tetrabenazine;tetrabenazine
P01AX10;fumagillin;fumagillin;fumagillin
R01AC08;olopatadine;olopatadine;olopatadine
R05DA12;acetyldihydrocodeine;acetyldihydrocodeine;acetyldihydrocodeine
R05DB28;dimethoxanate;dimethoxanate;dimethoxanate
S01AX21;gatifloxacin;gatifloxacin;gatifloxacin
S01BA14;loteprednol;loteprednol;loteprednol
S01BA15;fluocinolone acetonide;fluocinolone acetonide;fluocinolone acetonide
S01L;szem érbetegségeinek gyógyszerei;ocular vascular disorder agents;
S01LA01;verteporfin;verteporfin;verteporfin
S01LA02;anecortave;anecortave;anecortave
S01LA03;pegaptanib;pegaptanib;pegaptanib
S02AA15;ciprofloxacin;ciprofloxacin;ciprofloxacin
V03AF09;glucarpidase;glucarpidase;glucarpidase
V03AN05;medical air;medical air;medical air
M05BC;bone morphogenetic proteins;bone morphogenetic proteins;
A01AB59;;;
A02AA19;;;
A02BX15;teprenone ;teprenone ;teprenone 
A03BA23;;;
A03ED19;;;
A05AX16;;;
A05AX17;;;
A05BA08;glycyrrhizic acid ;glycyrrhizic acid ;glycyrrhizic acid 
A10AA01;;;
A10AA04;;;
A11BA16;;;
A11BA17;;;
A11BA18;;;
A11DB02;;;
A11DB16;;;
A11JB15;;;
A11JC18;;;
A16AX51;;;
B01AD51;;;
B03AB49;;;
C01DA18;;;
C01DX21;serelaxin;;serelaxin
C02DA06;;;
C02DE13;;;
C05CA72;;;
C05CA73;;;
C05CA74;;;
C05CX51;;;
C07AA09;;;
C08CA52;;;
C09AA59;;;
C10AX19;;;
D01AC51;;;
D01AF67;;;
D03AX15;trafermin;;trafermin
D03AX16;;;
D04AA19;;;
D06AX51;;;
D08AJ51;;;
D08AL19;;;
G01AA21;;;
G01AF03;;;
G03AA19;;;
G03CA54;;;
G04BD15;vibegron;;vibegron
G04CP56;;;
J01DA01;cefalexin;cefalexin;cefalexin
J01DA49;;;
J01FA19;;;
J01MA19;garenoxacin;garenoxacin;garenoxacin
J01RA19;;;
J05AB08;;;
J05AX03;;;
J07AX19;;;
L01AA12;;;
L01DC19;;;
M02AA29;esflurbiprofen ;esflurbiprofen ;esflurbiprofen 
M02AC11;;;
M02AC12;;;
M02AC14;;;
M02AC18;;;
M03AA03;;;
N03AA52;;;
N05CM49;;;
N06AA24;;;
N06AB19;;;
N06BX27;;;
R01AB52;;;
R01GX01;;;
R02AD53;;;
R03BA52;;;
R05AX12;;;
R06AB55;;;
S01DB23;;;
S01EX05;netarsudil ;netarsudil ;netarsudil 
V04AE05;;;
V08IB;;;
V09AH03;;;
M01AG19;;;
D03BA69;desoxyribonuclease;desoxyribonuclease;desoxyribonuclease
V01XA01;;;
C05CA59;;;
J01MA17;prulifloxacin;prulifloxacin;prulifloxacin
M05BA57;;;
na;;;
B01AC21;treprostinil;treprostinil;treprostinil
J07CA11;diphtheria-hemophilus influenzae b-pertussis-tetanus-hepatitis b;diphtheria-hemophilus influenzae b-pertussis-tetanus-hepatitis b;diphtheria-hemophilus influenzae b-pertussis-tetanus-hepatitis b
A16AB07;alglucosidase alfa;alglucosidase alfa;alglucosidase alfa
V03AF08;palifermin;palifermin;palifermin
C01EB17;ivabradine;ivabradine;ivabradine
J02AC04;posaconazole;posaconazole;posaconazole
L01BB06;clofarabine;clofarabine;clofarabine
A05AA01;chenodeoxikólsav;chenodeoxycholic acid;chenodeoxikólsav
A05AA02;ursodeoxikólsav;ursodeoxycholic acid;ursodeoxikólsav
A05AA19;dehidrokólsav;;dehidrokólsav
A05AA68;kólsav kombinációk;;kólsav kombinációk
A05AB;az epeutak terápiás készítményei;preparations for biliary tract therapy;
A05AB01;nikotinil-metilamid;nicotinyl methylamide;nikotinil-metilamid
A05AX;az epebetegségek egyéb terápiás készítményei;other drugs for bile therapy;
A05AX01;piprozolin;piprozolin;piprozolin
A05AX02;hymecromone;hymecromone;hymecromone
A05AX03;cyclobutyrol;cyclobutyrol;cyclobutyrol
A05AX19;extractum fumariae;;extractum fumariae
A05AX20;epebetegségekre egyéb kombinációk;;az epebetegségek egyéb terápiás készítményei, k.m.n.(2)
A05B;májvédők, zsírosodásgátlók;liver therapy, lipotropics;
A05BA;májvédők;liver therapy;
A05BA01;arginin-glutamát;arginine glutamate;arginin-glutamát
A05BA03;silymarin;silymarin;silymarin
A05BA04;citiolone;citiolone;citiolone
A05BA05;epomediol;epomediol;epomediol
A05BA06;ornithine oxoglurate;ornithine oxoglurate;ornithine oxoglurate
A05BA07;tidiacic arginine;tidiacic arginine;tidiacic arginine
A05BA17;l-ornitin-l-aszpartát;;l-ornitin-l-aszpartát
A05BA19;l-arginin - d,l-almasav kombináció;;l-arginin - d,l-almasav kombináció
A05BA53;silymarin kombinációk;;silymarin kombinációk
A05C;epebetegségek gyógyszerei és zsírosodásgátlók kombinációi;drugs for bile therapy and lipotropics in combination;
A06;hashajtók;laxatives;
A06A;hashajtók;laxatives;
A06AA;lágyítók, lazítók;softeners, emollients;
A06AA01;liquid paraffin;liquid paraffin;liquid paraffin
A06AA02;docusate sodium;docusate sodium;docusate sodium
A06AA51;liquid paraffin kombinációi;liquid paraffin, combinations;liquid paraffin kombinációi
A06AB;közvetlen hashajtók;contact laxatives;
A06AB01;acetphenolisatin;acetphenolisatin;acetphenolisatin
L01BC07;azacitidin;azacitidine;azacitidin
A06AB02;bisacodyl;bisacodyl;bisacodyl
A06AB03;dantron;dantron;dantron
A06AB04;fenolftalein;phenolphthalein;fenolftalein
A06AB05;castor oil;castor oil;castor oil
A06AB06;szennozid;senna glycosides;szennozid
A06AB07;cascara;cascara;cascara
A06AB08;nátrium-pikoszulfát;sodium picosulfate;nátrium-pikoszulfát
ISMTLEN; ismeretlen; ismeretlen;ismeretlen
A;tápcsatorna és anyagcsere;alimentary tract and metabolism;
N02BG;egyéb fájdalomcsillapítók és lázcsökkentők;other analgesics and antipyretics;
N02BG02;rimazolium;rimazolium;rimazolium
N02BG03;glafenine;glafenine;glafenine
N02BG04;floctafenine;floctafenine;floctafenine
N02BG05;viminol;viminol;viminol
N02BG06;nefopam;nefopam;nefopam
N02BG07;flupirtine;flupirtine;flupirtine
N02BV;kortikoszteroid származékok;;
N02C;migrain-ellenes szerek;antimigraine preparations;
N02CA;ergot alkaloidok;ergot alkaloids;
N02CA01;dihidroergotamin;dihydroergotamine;dihidroergotamin
N02CA02;ergotamine;ergotamine;ergotamine
N02CA04;methysergide;methysergide;methysergide
N02CA07;lisuride;lisuride;lisuride
N02CA51;dihydroergotamine, combinations;dihydroergotamine, combinations;dihydroergotamine, combinations
N02CA52;ergotamin kombinációk;ergotamin kombinációk;ergotamin kombinációk
N02CA72;ergotamine, combinations with psycholeptics;ergotamine, combinations with psycholeptics;ergotamine, combinations with psycholeptics
N02CB;corticosteroid derivatives;corticosteroid derivatives;
N02CB01;flumedroxone;flumedroxone;flumedroxone
N02CC;szelektív 5ht1-receptor agonisták;selective serotonin (5ht1) agonists;
N02CC01;sumatriptan;sumatriptan;sumatriptan
N02CC02;naratriptan;naratriptan;naratriptan
N02CC03;zolmitriptan;zolmitriptan;zolmitriptan
N02CC04;rizatriptan;rizatriptan;rizatriptan
N02CC05;almotriptan;almotriptan;almotriptan
N02CX;egyéb migrain elleni készítmények;other antimigraine preparations;
N02CX01;pizotifen;pizotifen;pizotifen
N02CX02;clonidine;clonidine;clonidine
N02CX03;iprazochrom;iprazochrome;iprazochrom
N02CX05;dimetotiazine;dimetotiazine;dimetotiazine
N02CX06;oxetorone;oxetorone;oxetorone
N02CX19;proxibarbal;;proxibarbal
N03;antiepileptikumok;antiepileptics;
N03A;antiepileptikumok;antiepileptics;
N03AA;barbiturátok és származékaik;barbiturates and derivatives;
N03AA01;methylphenobarbital;methylphenobarbital;methylphenobarbital
N03AA02;fenobarbitál;fenobarbitál;fenobarbitál
N03AA03;primidon;primidone;primidon
N03AA04;barbexaclone;barbexaclone;barbexaclone
N03AA30;metharbital;metharbital;metharbital
N03AB;hidantoin-származékok;hydantoin derivatives;
N03AB01;ethotoin;ethotoin;ethotoin
N03AB02;fenitoin;phenytoin;fenitoin
N03AB03;amino(diphenylhydantoin) valeric acid;amino(diphenylhydantoin) valeric acid;amino(diphenylhydantoin) valeric acid
N03AB04;mephenytoin;mephenytoin;mephenytoin
N03AB05;fosphenytoin;fosphenytoin;fosphenytoin
N03AB52;phenytoin, combinations;phenytoin, combinations;phenytoin, combinations
N03AB54;mephenytoin, combinations;mephenytoin, combinations;mephenytoin, combinations
N03AC;oxazolidin-származékok;oxazolidine derivatives;
N03AC01;paramethadione;paramethadione;paramethadione
N03AC02;trimethadione;trimethadione;trimethadione
N03AC03;ethadione;ethadione;ethadione
N03AD;succinimid-származékok;succinimide derivatives;
N03AD01;etosuximid;etosuximid;etosuximid
N03AD02;phensuximide;phensuximide;phensuximide
N03AD03;mesuximide;mesuximide;mesuximide
N03AD51;ethosuximide, combinations;ethosuximide, combinations;ethosuximide, combinations
N03AE;benzodiazepin-származékok;benzodiazepine derivatives;
N03AE01;klonazepám;klonazepám;klonazepám
N03AF;carboxamid-származékok;carboxamide derivatives;
N03AF01;karbamazepin;carbamazepine;karbamazepin
N03AF02;oxcarbazepine;oxcarbazepine;oxcarbazepine
N03AG;zsírsav-származékok;fatty acid derivatives;
N03AG01;valproinsav;valproic acid;valproinsav
N03AG02;valpromide;valpromide;valpromide
N03AG03;aminobutyric acid;aminobutyric acid;aminobutyric acid
N03AG04;vigabatrin;vigabatrin;vigabatrin
N03AG05;progabide;progabide;progabide
N03AG06;tiagabine;tiagabine;tiagabine
N03AX;egyéb antiepileptikumok;other antiepileptics;
N03AX03;szultiam;szultiam;szultiam
N03AX07;phenacemide;phenacemide;phenacemide
N03AX09;lamotrigin;lamotrigine;lamotrigin
N03AX10;felbamat;felbamate;felbamat
N03AX11;topiramate;topiramate;topiramate
N03AX12;gabapentin;gabapentin;gabapentin
N03AX13;pheneturide;pheneturide;pheneturide
N03AX30;beclamide;beclamide;beclamide
N04;antiparkinson szerek;anti-parkinson drugs;
N04A;antikolinerg szerek;anticholinergic agents;
N04AA;tercier aminok;tertiary amines;
N04AA01;trihexyphenidyl;trihexyphenidyl;trihexyphenidyl
N04AA02;biperidén;biperidén;biperidén
N04AA03;metixén;metixén;metixén
N04AA04;prociklidin;procyclidine;prociklidin
N04AA05;profenamine;profenamine;profenamine
N04AA08;dexetimide;dexetimide;dexetimide
M01BA;kortikoszteroidokkal kombinált gyulladásgátló és rheuma-ellenes készítmény;antiinflammatory/antirheumatic agents in combination with corticosteroids;
M01BA01;fenilbutazon - kortikoszteroid kombinációk;phenylbutazone and corticosteroids;fenilbutazon - kortikoszteroid kombinációk
M01BA02;dipyrocetyl and corticosteroids;dipyrocetyl and corticosteroids;dipyrocetyl and corticosteroids
C02AC04;tolonidine;tolonidine;tolonidine
C02AC05;moxonidin;moxonidine;moxonidin
C02AC06;rilmenidine;rilmenidine;rilmenidine
C02B;antiadrenerg szerek, ganglion blokkolók;antiadrenergic agents, ganglion-blocking;
C02BA;sulfonium származékok;sulfonium derivatives;
C02BA01;trimetaphan;trimetaphan;trimetaphan
C02BB;szekunder és tercier aminok;secondary and tertiary amines;
C02BB01;mecamylamine;mecamylamine;mecamylamine
C02BC;biszkvaterner ammónium-vegyületek;bisquaternary ammonium compounds;
C02C;perifériás hatású antiadrenerg szerek;antiadrenergic agents, peripherally acting;
C02CA;alfa-adrenerg receptor blokkolók;alpha-adrenoreceptor antagonists;
C02CA01;prazozin;prazozin;prazozin
C02CA02;indoramin;indoramin;indoramin
