ID;KOD;LEIRAS
34205;R6810;A csecsemőkor sajátos nem specifikus tünetei
34208;R6880;Egyéb meghatározott tünetek és jelek
34222;R7620;Álpozitív syphilis teszt
34232;R7820;Cocain a vérben
38352;I6085;A gerinc ereinek vérzett arteriovenosus rendellenessége - thoracalis
39008;B0680;Rózsahimlő egyéb szövődményekkel
39011;B0701;Vírusos szemölcsök talpi lokalizációban 10 db felett
39013;B0810;Molluscum contagiosum
39016;B0840;Enterovirusos vesicularis stomatitis kiütéssel
39017;B0850;Enterovirusos hólyagos torokgyulladás
39024;B1620;B-típusú heveny hepatitis delta-ágens nélkül, májcomával
39028;B1720;Heveny hepatitis E
39035;B1900;Vírushepatitis comával k.m.n.
33048;M8703;Idiopathiás asepticus csontelhalás alkar
33057;M8712;Gyógyszer okozta csontelhalás felkar
33059;M8714;Gyógyszer okozta csontelhalás kéz
33061;M8716;Gyógyszer okozta csontelhalás lábszárcsont
33076;M8731;Egyéb másodlagos csontelhalás válltájék
33081;M8736;Egyéb másodlagos csontelhalás lábszárcsont
33091;M8786;Egyéb csontelhalás lábszárcsont
33093;M8788;Egyéb csontelhalás egyéb
36516;T7830;Oedema angioneurotica
33114;M8960;Poliomyelitis utáni osteopathia
33122;M9050;Csontelhalás egyéb, máshová osztályozott betegségekben
33124;M9070;Csonttörés rosszindulatú daganatos betegségekben (C00-D48+)
33137;M9250;A sípcsont és szárkapocs juvenilis osteochondrosisa
33147;M9400;Chondrocostalis junctio syndroma [Tietze]
34421;S0900;A fej ereinek sérülése, m.n.o.
34422;S0910;A fej izomzatának és inainak sérülése
34438;S1200;Az első nyakcsigolya törése
37567;Z6340;Családtag eltűnése és halála
37678;Z8430;Vérrokonság a családban
35363;T0680;Egyéb meghatározott sérülések több testtájékon együtt
40249;D5810;Örökletes elliptocytosis
40265;D6090;Szerzett tisztán vörösvérsejt aplasia k.m.n.
40275;D6400;Örökletes sideroblastos anaemia
40754;O6110;Sikertelen eszközös szülésindítás
32798;H1180;A kötőhártya egyéb, meghatározott rendellenességei, k.m.n.
32799;H1190;A kötőhártya rendellenessége, k.m.n.
32804;H1380;A kötőhártya egyéb rendellenességei máshova osztályozott betegségek
32808;H1590;Az ínhártya rendellenessége, k.m.n.
32813;H1640;Szaruhártya neovascularisatio
32815;H1690;Szaruhártya-gyulladás, k.m.n.
33272;Q8920;Egyéb belső elválasztású mirigyek veleszületett rendellenességei
33275;Q8970;Többszörös, m.n.o. veleszületett rendellenességek
33287;Q9150;Trisomia 13, mosaicismus (mitoticus, non-disjunctiós)
33294;Q9240;Csak prometafázisban észlelhető kettőzöttségek
33302;Q9320;Dicentricus vagy gyűrűs chromosoma
33314;Q9540;Marker heterochromatinnal rendelkező egyén
34778;T6320;Skorpió által okozott toxikus reakció
34806;T6740;Hőkimerülés sóveszteség miatt
34813;T6900;Kéz- és láblehűlés
79829;I7023;A végtagi ütoerek atherosclerosisa Fontaine III.
42081;F1040;Alkohol okozta megvonási szindróma deliriummal
33717;H5120;Internuclearis szembénulás
33829;H8140;Központi eredetű szédülés
38348;I6081;Agyi erek vérzett arteriovenosus rendellenessége - hemispheriális
34817;T7000;Légnyomásbántalom a fülben
34818;T7010;Sinus barotrauma
34839;S2190;A mellkas k.m.n. részének nyílt sebe
34856;S2420;A háti gerinc ideggyökének sérülése
34857;S2430;A mellkas perifériás idegeinek sérülése
34873;S2700;Traumás pneumothorax
39539;J6510;Szénbányászok pneumoconiosisa, aktív tüdogümokórral együtt
39545;J6620;Cannabinosis (indiai kender okozta légúti betegség)
39563;J6890;Légzőszervi állapot vegyszertől, gáztól, füsttől és gőztől, k.m.n.
39572;J7080;Egyéb, megnevezett külső ágensek okozta légzőszervi állapotok
39587;J8500;Tüdő gangraena és necrosis
39591;J8600;Pyothorax sipollyal
39595;O0570;Komplett vetélés egyéb okból, emboliával
39596;O0571;Komplett vet. egyéb okból, emboliával korai (betöltöltött 12. hétig)
39609;O0612;K.m.n. inkomplett vet. elhúzódó vagy bo vérz. középidos
38437;I7290;Nem jelölt lokalizációjú ütőér-aneurysma
39334;I8400;Belső, rögösödött aranyerek
39405;J0680;Egyéb felső légúti fertőzések több helyen
39494;J3820;A hangszalagok csomói
39505;J3990;A felső légutak betegségei, k.m.n.
40438;K0100;Retineált fog
40473;K0560;Periodontalis betegség k.m.n.
40556;K2560;Gyomorfekély idült vagy k.m.n. vérzéssel és átfúródással
40575;K2770;Pepticus fekély k.m.n. helyen, idült vérzés vagy átfúródás nélkül
40582;K2850;Gastrojejunalis fekély idült vagy k.m.n. átfúródással
40587;K2910;Egyéb heveny gastritis
33757;H6010;A külső fül cellulitise
33764;H6100;A külső fül porchártyagyulladása
33770;H6200;Külsőfül-gyulladás máshova osztályozott bakteriális betegségekben
33773;H6230;Külsőfül-gyulladás egyéb másh. o. fertôzô és parazitás betegségekbe
33779;H6530;Idült mucosus középfülgyulladás
33784;H6620;Idült atticoantralis gennyes középfülgyulladás
33786;H6640;Gennyes középfülgyulladás, k.m.n.
33810;H7390;Dobhártyabetegség, k.m.n.
33817;H7490;Középfül- és csecsnyúlványbetegség, k.m.n.
33822;H8020;Cochlearis otosclerosis
33828;H8130;Egyéb, perifériás eredetű szédülés
33837;H8380;A belső fül egyéb betegségei
35168;S7400;A N. ischiadicus sérülése a csípő és comb szintjében
39888;B3870;Disszeminált coccidioidomycosis
39893;B3920;Pulmonalis histoplasmosis capsulati k.m.n.
39914;B4300;Bőr chromomycosis
39916;B4320;Bőr alatti phaeomycoticus tályog és cysta
39917;B4380;Chromomycosis egyéb formái
39919;B4400;Invasiv tüdő aspergillosis
36821;Z2081;Veleszületett toxoplasmosis gyanúja miatti ellátás
36842;Z2400;Járványos gyermekbénulás elleni immunisatióra szoruló személy
36843;Z2410;Ízeltlábúak terj. vírusencephalitis elleni immunisatióra szoruló szem.
36849;Z2500;Járványos fültőmirigy-gyulladás elleni immunisatióra szoruló személ
36856;Z2710;Diphtheria-tetanus-pertussis elleni védőoltásra szoruló személy
41724;P2363;Congenitalis pneumonia - Mycoplasma
41730;P2420;Vér aspiratiója újszülött korban
41747;P2790;Újszülöttkorban keletkező krónikus tüdőbetegség, k.m.n.
41757;P2910;Újszülöttkori arrhythmia
41772;P3630;Egyéb és k.m.n. staphylococcusok okozta sepsis az újszülöttben
41779;P3720;Újszülöttkori (disszeminált) listeriosis
41780;P3730;Veleszületett Malaria falciparum fertőzés
41784;P3781;Congenitalis varicella
42645;Q0680;A gerincvelő egyéb meghatározott veleszületett rendellenességei
42647;Q0700;Arnold-Chiari syndroma
42650;Q1000;Veleszületett ptosis
42652;Q1020;Veleszületett szemhéjbefordulás
42654;Q1040;A könnyszervek hiánya, agenesise
42659;Q1110;Egyéb eredetű szemhiány
42688;Q1620;Az Eustach-kürt hiánya
42703;Q1820;A kopoltyúív egyéb rendellenességei
42718;Q2080;A szívüregek és összeköttetéseik egyéb veleszületett rendellenességei
42728;Q2210;A tüdőverőér billentyű veleszületett szűkülete
36391;V4540;Autó utasának sérülése személy-tehervonattal ütk.ben, fel-leszálláskor
36392;V4550;Autó vezetőjének sérülése személy-tehervonattal ütk.ben, közl. bale
36396;V4600;Autó vezetőjének sérülése nem mot.járművel ütközésben, nem közl.bal
36397;V4610;Autó utasának sérülése nem motoros járművel ütközésben, nem közl.ba
36400;V4640;Autó utasának sérülése nem mot.járművel ütközésben, fel-leszállásko
35887;V1950;Utas sérülése összeütk.ben k.m.n. motoros jármű közl. balesetében
38020;A1852;Chorioretinitis tuberculosa
38026;A1862;Szájnyálkahártya tuberculosis
38027;A1863;Szájnyálkahártya primaer tuberculosis
38037;A1887;Szívizom gümőkór
38038;A1888;Szívbelhártya gümőkór
38041;A1910;Heveny miliaris gümőkór több helyen
38049;A2030;Pestises agyhártyagyulladás
38060;A2200;Bőr anthrax
43559;Q6260;A húgyvezeték rendellenes helyzete
43564;Q6320;Ectopiás vese
43565;Q6330;Hyperplasiás és óriás vese
43569;Q6410;A húgyhólyag extrophiája
43578;Q6500;A csípő veleszületett egyoldali dislocatiója
43601;Q6740;A koponya, arc és állkapocs egyéb veleszületett rendellenességei
43604;Q6770;Pectus carinatum
43622;Q7090;Ujjak összenövése, k.m.n.
43638;Q7260;A szárkapocs megrövidülése
43639;Q7270;Hasadt láb
42987;F5270;Túlzott (excesszív) szexuális vágy
42990;F5300;Enyhe mentális és viselkedészavar, puerperiumhoz társulva, m.n.o.
39948;B4870;Opportunista gombás fertőzések
39967;B5590;Leishmaniasis, k.m.n.
39976;B5750;Chagas-kór (idült) egyéb szervek érintettségével
41553;L2360;Allergiás kontaktdermatitis bőrrel érintkező élelmiszerektől
41568;L2410;Olajok, zsírok okozta irritativ kontaktdermatitis
41583;L2460;Bőrrel érintkező élelmiszer okozta irritativ kontaktdermatitis
41586;L2470;Irritativ kontaktdermatitis nem élelmiszer növényektől
41591;L2482;Egyéb ágens okozta irritativ kontaktdermatitis (18 % felett)
41597;L2502;Kozmetikumok okozta nem specifikus kontaktdermatitis (18 % felett)
35476;T2560;A boka és láb másodfokú maródása
41791;P3912;Dacryocystitis neonatorum k.m.n.
38463;N7190;A méh gyulladásos betegsége, k.m.n.
37416;Y30H0;Esés, ugrás vagy lelöketés magas helyről, nem meghatározott szándék
38465;N7300;Akut parametritis és medencei cellulitis
38476;N7420;A női kismedence syphilises gyulladásos betegsége (A51.4+, A52.7+)
38477;N7430;A női kismedence gonococcusos gyulladásos betegsége (A54.2+)
38490;N7660;A szeméremtest kifekélyesedése
35888;V1960;Kerékpáros sérülése összeütk.ben k.m.n. mot. jármű közl. balesetébe
35891;V2000;Motorkerékpárvezető sérülése gyalogossal-állattal ütk.ben, nem közl
35905;V2200;Motorkerékpárvezető sérülése 2-3 kerekű járművel ütk.ben, nem közl.
35924;V2450;Motork.pár-utas sérülése nehézjárművel-busszal ütközésben, közl.bal
37696;Z8660;Idegrendszeri, érzékszervi betegség az anamnesisben
37704;Z8760;Születés körül kialakult állapot a kórelőzményben
37705;Z8770;Veleszületett rendellenesség a kórelőzményben
37711;Z8840;Túlérzékenység: anaestheticum
37716;Z8890;Túlérzékenység: k.m.n. gyógyszer, drog, biológiai anyag
37735;Z9080;Egyéb szervek hiánya, szerzett
37740;Z9140;Lelki sérülés az egyéni kórelőzményben
37741;Z9150;Önsértés az egyéni kórelőzményben
37751;Z9290;K.m.n. orvosi kezelés után lévő személy
37754;Z9320;Enterostomával élő személy
37759;Z9380;Egyéb művi stomával élő személy
37772;Z9500;Ritmusszabályozóval élő személy
42997;F6000;Paranoid személyiségzavar
43000;F6030;Érzelmileg labilis személyiségzavar
43003;F6060;Szorongó (elkerülő, averziv) személyiségzavar
43009;F6210;A személyiség tartós változása pszichiátriai megbetegedés után
43027;F6540;Pedofilia
43033;F6610;Ego-disztóniás szexuális orientáció
43036;F6690;Nem-meghatározott pszichoszexuális fejlődészavar
43039;F6880;Egyéb meghatározott zavara a felnőtt személyiségnek és viselkedésne
43066;F8010;A kifejező (expresszív) beszéd zavara
36716;V1130;Kerékpáros sérülése másik kerékpárossal ütközésben, fel-leszálláskor
36725;V1250;Kerékpár-utas sérülése 2-3 kerekű mot. járművel ütk.ben, közl. bale
33841;H9020;Vezetéses hallásvesztés, k.m.n.
33844;H9050;Idegi hallásvesztés, k.m.n.
33845;H9060;Kétoldali, kevert típusú hallásvesztés
33862;H9390;Fülrendellenesség, k.m.n.
33870;I0100;Heveny rheumás szívburokgyulladás
33880;I0580;A kéthegyű billentyű egyéb betegségei
33883;I0610;Rheumás aorta elégtelenség
33886;I0690;Rheumás aortabillentyű-betegség, k.m.n.
33904;I1100;Hypertensiv szívbetegség (congestiv) szívelégtelenséggel
33912;I1500;Renovascularis hypertonia
33914;I1520;Másodlagos hypertonia endocrin rendellenesség miatt
35175;S7510;A vena femoralis sérülése a csípő és comb szintjében
35177;S7570;Több ér sérülése a csípő és comb szintjében
35178;S7580;Egyéb erek sérülése a csípő és comb szintjében
35186;S7700;A csípő összenyomatása
35204;S8200;A térdkalács (patella) törése
35212;S8280;A lábszár egyéb részeinek törése
38520;N8290;A női nemi szervek sipolya, k.m.n.
38525;N8340;A petefészek és a méhkürt előesése és sérve
38544;N8570;Haematometra
38554;N8820;A méhnyak szűkülete és hegesedése
38558;N8890;A méhnyak nem-gyulladásos rendellenessége, k.m.n.
36866;Z2890;K.m.n. ok miatt el nem végzett immunisatio
36868;Z2910;Immunterápia megelőzési céllal
36872;Z3000;Fogamzásgátlási megbeszélés és tanácsadás
36876;Z3040;Fogamzásgátló szerek szedésének felülvizsgálata
36880;Z3100;Tuba vagy vas deferens plasztika előzetes sterilizálás után
36883;Z3130;Megtermékenyítés elősegítése
36888;Z3190;Termékenység k.m.n. kezelése
36899;Z3530;Terhesgondozás korábbi, nem megfelelő gondozást követően
36912;Z3680;Születés előtti szűrés, egyéb
36920;Z3760;Többszörös ikrek szülése: néhány élve született
36921;Z3770;Többszörös ikrek szülése, mind halva született
36936;Z4080;Megelőző jellegű egyéb műtét
36939;Z4110;Szépészeti műtét elfogadhatatlan megjelenés miatt
35801;V7210;Autóbusz-utas sérülése 2-3 k.mot.járművel ütközésben, nem közl.bale
41823;P5450;Újszülöttkori bőrvérzés
41826;P5490;Újszülöttkori vérzés, k.m.n.
41831;P5600;Hydrops foetalis isoimmunisatio következtében
42739;Q2330;A kéthegyű billentyű veleszületett elégtelensége
42742;Q2390;Az aorta- és kéthegyű billentyűk veleszületett rendellenessége, k.m
42744;Q2410;Levocardia
42752;Q2500;Nyitott ductus arteriosus
42755;Q2530;Aortaszűkület
36738;Z0210;Vizsgálat: munkahelyi alkalmazás előtt
36743;Z0260;Vizsgálat: biztosítási szerződéshez
36745;Z0280;Vizsgálat: adminisztratív célú egyéb
36750;Z0330;Megfigyelés: idegrendszeri zavar gyanúja miatt
36764;Z0490;Vizsgálat és megfigyelés meghatározatlan okból
38081;A2670;Erysipelothrix septicaemia
38083;A2690;Erysipeloid k.m.n.
38366;I6290;Koponyaűri vérzés (nem-traumás), k.m.n.
35218;S8340;A térd külső és belső szalagjainak rándulása és húzódása
35227;S8490;K.m.n. ideg sérülése a lábszár szintjében
35232;S8540;A vena saphena parva sérülése a lábszár szintjében
35242;S8680;Egyéb izmok és inak sérülése a lábszár szintjében
35243;S8690;K.m.n. izom és ín sérülése a lábszár szintjében
35253;S9010;A lábujj(-ak) zúzódása körömsérülés nélkül
35263;S9170;A boka és láb többszörös nyílt sebe
40005;B6720;A csont Echinococcus granulosus fertőzése
40006;B6730;Echinococcus granulosus fertőzés egyéb és több helyen
40018;B6980;Egyéb lokalizációjú cysticercosis
40020;B7000;Diphyllobothriosis
40022;B7100;Hymenolepiasis
40030;B7420;Brugia timori okozta filariasis
43769;F82H0;A motoros funkció specifikus fejlődési rendellenességei
40277;D6420;Másodlagos sideroblastos anaemia gyógyszerek és toxinok miatt
40278;D6430;Egyéb sideroblastos anaemiák
36958;Z4370;Művi hüvely gondozása
41797;P5000;Magzati vérvesztés a vasa praeviából
36956;Z4350;Cystostoma gondozása
41802;P5050;Magzati vérvesztés az ikertestvér elvágott köldökzsinórján keresztül
38682;O0422;Inkomplett muvi vetélés emboliával középidos
38686;O0440;Inkomplett művi vetélés szövődmény nélkül
38700;O0482;Komplett v. k.m.n. muvi vet. egyéb és k.m.n. szöv. középidos
38709;O0512;Inkomplett vet. egyéb okból, elhúzódó vagy bo vérz. középidos
38719;O0550;Komplett vetélés egyéb okból, ivarszervi és medencei fertőzéssel
38724;O0562;Komplett vet. egyéb okból, elhúzódó vagy igen bo vérz. középidos
38726;A3000;Lepra [Hansen-betegség] k.m.n.
42033;E8940;Beavatkozás utáni petefészek elégtelenség
42312;L5124;Toxikus epidermalis necrolysis testny. és körny. + 100% testfelület
42325;L5500;I. fokú napfényártalom
42327;L5520;III. fokú napfényártalom
42333;L5630;Solaris urticaria
42352;L6010;Onycholysis
42361;L6300;Alopecia (capitis) totalis
42369;L6500;Telogen effluvium
42377;L6630;Perifolliculitis capitis abscedens
42378;L6640;Folliculitis ulerythematosa reticulata
42389;L6880;Egyéb hypertrichosis
35927;V2510;Motork.pár-utas sérülése személy-tehervonattal ütk.ben, nem közl.bales
35936;V2630;Motorkerékpáros sérülése nem mot.járművel ütközésben, fel-leszállás
35967;V3040;3k.mot.jármű-utas sér. gyalogossal-állattal ütk.ben, fel-leszállásk
35494;T2760;A légzőrendszer egyéb részeinek maródása
35504;T2880;A belső húgy-ivarszervek maródása
35520;T3060;Nem meghatározott testtájék másodfokú maródása
35524;T3120;A testfelület 20-29%-át érintő égés
35527;T3150;A testfelület 50-59%-át érintő égés
35538;T3260;A testfelület 60-69%-át érintő maródás
35542;T3300;A fej felületes fagyása
35554;T3420;A mellkas szövetelhalással járó fagyása
35560;T3480;A boka és lábfej szövetelhalással járó fagyása
35565;T3530;A mellkas, has, derék, és a medence fagyása, k.m.n.
35570;T3600;Penicillinek által okozott mérgezés
35572;T3620;Chloramphenicol csoport által okozott mérgezés
35574;T3640;Tetracyclinek által okozott mérgezés
32828;H1880;A szaruhártya egyéb, meghatározott rendellenességei
32831;H1910;Herpesvirus szaruhártya-gyulladás és keratoconjunctivitis (B00.5+)
32837;H2020;Phakogen iridocyclitis
34140;N4330;Hydrocele, k.m.n.
34149;N4800;Leukoplakia penis
34150;N4810;Balanoposthitis
42052;F0230;Demencia Parkinson-kórban (G20+)
42070;F0690;K.m.n. mentális zavar, agykárosodás, diszfunkció, szervi baj okozta
38569;N9000;A szeméremtest enyhefokú dysplasiája
38571;N9020;A szeméremtest súlyos dysplasiája, m.n.o.
36063;Y4590;Fájdalom- és lázcsillapítók és gyulladás elleni szerek, k.m.n.
36074;Y4710;Benzodiazepinek
36078;Y4750;Kevert nyugtatók és altatók, m.n.o.
36102;Y5100;Anticholinesterase szerek
36105;Y5130;Egyéb parasympatholyticumok és spasmolyticumok, m.n.o.
36108;Y5160;a-adrenoreceptor antagonisták, m.n.o.
36110;Y5180;Centrálisan ható és adrenerg neuronblockoló szerek, m.n.o.
36112;Y5200;Cardiostimuláns glycosidok és hasonló hatású szerek
35984;V3230;3k.mot.jármű-k.m.n.utas sér. 2-3k.mot.járművel ütk.ben, nem közl.ba
37793;Z9730;Szemüveget vagy kontaktlencsét viselő személy
37807;Z9990;Függőség k.m.n. segédeszköztől vagy géptől
37819;A0130;"Paratyphus ""C"""
37820;A0140;Paratyphus k.m.n.
37821;A0200;Salmonella bélhurut
37828;A0320;Shigellosis, Shigella boydii miatt
37842;A0500;Staphylococcus által okozott ételmérgezés
37853;A0640;Amoebás májtályog
37860;A0710;Giardiasis [lambliasis]
37863;A0780;Egyéb meghatározott protozoon bélbetegségek
37881;A1511;Tüdőgümőkór, csak tenyésztéssel pozitiv, caverna nincs, egyoldali
37887;A151A;Tüdőgümőkór, csak tenyésztéssel igazolt  -  polirezisztens kórokozó
37888;A1520;Tüdőgümőkór, szövettani vizsgálattal kimutatott
37890;A1522;Tüdőgümőkór, szövettani vizsg.-al igazolt, caverna nincs, kétoldali
43118;M1100;Hydroxyapatit lerakódásos betegség
43128;M1250;Sérüléses arthropathia
43130;M1300;Polyarthritis, k.m.n.
43134;M1400;Enzimdefektus - más öröklődő betegségek okozta köszvényes arthropat
43140;M1460;Neuropathiás arthropathia
43143;M1510;Heberden-csomók (arthropathiával)
43144;M1520;Bouchard csomók (arthropathiával)
43145;M1530;Másodlagos többízületi arthrosis
43152;M1630;Egyéb dysplasiás coxarthrosis
43154;M1650;Egyéb posttraumás coxarthrosis
38589;N9240;Excesszív vérzés a praemenopausalis szakban
36989;Z4890;Sebészeti gondozás
37014;V7790;Autóbusz-k.m.n.utas sérülése rögzített objektummal ütk.ben, közl.bales
37018;V7830;Autóbusz-k.m.n.utas sérülése ütközés nélküli száll.nem közl.balesetben
36991;Z4910;Művese kezelés
37021;V7860;Autóbusz-utas sérülése összeütközés nélküli szállit. közl. balesetben
37031;V7980;Autóbusz bármely utasának sérülése egyéb megjelölt száll. balesetben
37034;V8010;Lovagló személy, utas sérülése, gyalogossal vagy állattal ütközésben
37040;V8070;Lovagló személy vagy utas sérülése egyéb nem mot.járművel ütközésbe
37041;V8080;Lovagló személy vagy utas sérülése rögzített objektummal ütközésben
37043;V8100;Vonat utasának sérülése összeütk.ben, mot.jármű nem közl.bal.ben
37047;V8140;Személy sérülése vasúti szerelvényre fel-, arról leszállás közben
34189;N7000;A méhkürt és petefészek heveny gyulladása
34216;R7400;A transaminase és tejsav-dehydrogenase [LDH] szint emelkedése
34220;R7600;Emelkedett antitest-titer
34225;R7700;Albumin-rendellenesség
39012;B0800;Egyéb orthopox vírusfertőzések
39014;B0820;Exanthema subitum [hatodik betegség]
39020;B1500;A-típusú hepatitis májcomával
39023;B1610;B-típusú heveny hepatitis delta-ágenssel, májcoma nélkül
40585;K2890;Gastrojejunalis fekély, nem heveny, nem idült, vérzés-átfúródás nélkül
40586;K2900;Heveny vérzéses gastritis
33051;M8706;Idiopathiás asepticus csontelhalás lábszárcsont
33053;M8708;Idiopathiás asepticus csontelhalás egyéb
33069;M8724;Posttraumás csontelhalás kéz
33072;M8727;Posttraumás csontelhalás boka és lábfej
33074;M8729;Posttraumás csontelhalás k.m.n. lokalizáció
33090;M8785;Egyéb csontelhalás medence és tompor
33109;M8910;Epiphysealis block
33132;M9200;A felkarcsont juvenilis osteochondrosisa
33138;M9260;A lábtő juvenilis osteochondrosisa
33142;M9300;A combcsont proximalis epiphysisének elcsúszása (nem traumás eredetu)
34428;S1010;A torok egyéb és k.m.n. felületes sérülései
34435;S1170;A nyak többszörös nyílt sebe
34447;S1330;A nyak többszörös ficama
37517;Z5800;Zajártalomnak kitett személy
37571;Z6380;Elsődleges életközösséget érintő egyéb gondok
37583;Z6550;Kitétel szerencsétlenségnek, háborúnak és más ellenségeskedésnek
37666;Z8280;Rokkantság, idült - rokkantságot okozó - betegség családi anamnesisben
37775;Z9530;Xenogen műbillentyű a szívben
37785;Z9650;Fogászati és állkapocs implantátumot viselő beteg
37806;Z9980;Egyéb gyógyászati segédeszköztől függő beteg
35362;T0650;Mellüregi sérülések hasüregi és medencei szervek sérüléseivel együtt
35366;T0900;A törzs felületes sérülései, szint k.m.n.
40230;D5500;Glucose-6-phosphat dehydrogenase [G6PD] hiány okozta anaemia
40241;D5680;Egyéb thalassaemiák
40270;D6180;Egyéb meghatározott aplasticus anaemiák
41135;E2000;Idiopathiás hypoparathyreosis
41209;E3400;Carcinoid syndroma
41245;E5380;Egyéb B-vitamin-hiány
41991;E8050;Crigler-Najjar-syndroma
32790;H1050;Blepharoconjunctivitis
32803;H1330;Szem pemphigoid (L12.-+)
32816;H1700;Leukoma adhaerens
32817;H1710;Egyéb központi szaruhártya homály
33277;Q8990;Veleszületett rendellenesség, k.m.n.
33293;Q9230;Kisebb chromosomarészt érintő részleges trisomia
33300;Q9300;Teljes chromosoma monosomia, meioticus, non-disjunctiós
33315;Q9550;Egyén autosomalis törékeny locusszal
34780;T6322;Skorpió által okozott súlyos mérgezés
34784;T6340;Egyéb mérges ízeltlábúak csípése
34787;T6380;Egyéb mérges állatok által okozott toxikus reakció
34796;T6560;Festékek és színezőanyagok toxikus hatása, m.n.o.
43780;F89H0;A pszichológiai fejlődés rendellenességei k.m.n.
34804;T6720;Hőgörcsök
34816;T6990;A csökkent hőmérséklet egyéb meghatározott hatásai k.m.n.
43793;F9290;Nem-meghatározott kevert emócionális és magatartászavar
32756;H0250;A szemhéj működését befolyásoló egyéb rendellenességek
33721;H5210;Myopia
33800;H7090;Csecsnyúlványgyulladás, k.m.n.
33906;I1200;Hypertensiv vesebetegség veseelégtelenséggel
38343;I6040;Subarachnoidealis vérzés az arteria basilarisból
34821;S1780;A nyak egyéb részeinek összenyomatása
34832;S2070;A mellkas többszörös felületes sérülése
34833;S2080;A mellkas egyéb és k.m.n. részeinek felületes sérülése
34834;S2100;Az emlő nyílt sebe
34835;S2110;Az elülső mellkasfal nyílt sebe
34836;S2120;A mellkas hátulsó falának nyílt sebe
34841;S2210;A háti csigolyák többszörös törése
34853;S2350;A mellkas egyéb és k.m.n. részeinek rándulása és húzódása
34875;S2720;Traumás haemo-pneumothorax
39543;J6600;Byssinosis
39559;J6820;Felső légúti gyulladás vegyszertől, gáztól, füsttől és gőztől, m.n.
39569;J7020;Gyógyszer kiváltotta heveny interstitialis tüdőrendellenességek
39573;J7090;Külső ágensek okozta légzőszervi állapot, k.m.n.
39581;J8411;Idiopathiás tüdőfibrosis
39585;J8480;Egyéb meghatározott interstitialis tüdőbetegségek
39604;O0600;K.m.n. inkomplett vetélés ivarszervi és medencei fertőzéssel
39613;O0630;K.m.n. inkomplett vetélés egyéb és k.m.n. szövődményekkel
53676;I5094;Szívelégtelenség NYHA IV. stádium
39426;J1530;B-csoportú streptococcus okozta tüdőgyulladás
39509;J4180;Kevert egyszerű és mucopurulens idült bronchitis
39593;J8620;Pyothorax chronica
40442;K0220;A cement szuvasodása
40449;K0320;Fogerosio
40466;K0490;A fogbél és a periapicalis szövetek egyéb és k.m.n. betegségei
40657;K5130;Rectosigmoiditis ulcerosa (chronica)
40677;K5650;Bélösszenövések [kötegek] okozta bélelzáródás
41350;K7040;Alkoholos májelégtelenség
41359;K7170;Toxikus májbetegség fibrosissal és cirrhosissal
41433;K8700;Epehólyag- és epeút-rendellenességek, máshová oszt. betegségekben
41449;K9150;Postcholecystectomiás syndroma
41453;K9210;Vérszékelés
42265;L4031;Tenyéri és talpi pustulosus psoriasis, enyhe
53674;I5092;Szívelégtelenség NYHA II. stádium
39619;O0650;K.m.n. komplett vetélés ivarszervi és medencei fertőzéssel
39623;O0661;K.m.n. komplett vet. elhúzódó vagy igen bo vérz. korai (bet.12.hétig)
40771;O6430;Elakadt szülés homloktartás miatt
40775;O6490;Elakadt szülés tartási és fekvési rendellenesség miatt, k.m.n.
40789;O6650;Sikertelenül alkalmazott vacuum extractio és fogóműtét, k.m.n.
40791;O6690;Elakadt szülés, k.m.n.
40792;O6700;Szülés alatti vérzés alvadási zavarral
40798;O6830;Vajúdás és szülés a magzati stress biokémiai jeleivel szövődve
40799;O6880;Vajúdás és szülés a magzati stress egyéb jeleivel szövődve
40806;O6950;Vajúdás és szülés a köldökzsinór érsérülésével szövődve
40812;O7030;Negyedfokú gátrepedés a szülés alatt
40824;O7200;Vérzés a lepényi szakban
40828;O7300;Lepényvisszamaradás vérzés nélkül
33329;Q9780;Egyéb meghat. sexchromosoma rendellenességek női fenotípus mellett
33330;Q9790;Sexchromosoma rendellenesség női fenotípus mellett, k.m.n.
33333;Q9820;Klinefelter-syndroma, férfi, 46, XX karyotípussal
33347;R0010;Bradycardia, k.m.n.
42457;L9020;Jadassohn-Pellizzari féle anetoderma
42476;L9400;Lokalizált scleroderma [morphea]
42480;L9440;Gottron-féle papulák
42484;L9490;Lokalizált kötőszöveti rendellenesség, k.m.n.
42493;L9830;Eosinophiliás cellulitis [Wells]
32915;M6630;A flexor inak spontán rupturája
32920;M6720;Synovialis hypertrophia, m.n.o.
33044;M8691;A koponya csontjait érinto osteomyelitis
33098;M8793;Csontelhalás, k.m.n. alkar
33146;M9390;Osteochondropathia, k.m.n.
34092;N3230;Húgyhólyag diverticulum
34117;N3930;Stress-incontinentia
34191;N7090;Méhkürt és petefészek gyulladás, k.m.n.
38517;N8240;Egyéb sipolyok a női nemi szervek és a belek között
33366;R0640;Hyperventillatio
33370;R0680;A légzés egyéb és k.m.n. rendellenességei
33372;R0710;Légzési mellkasfájdalom
33406;R2020;Bőr paraesthesia
33408;R2080;A bőrérzés egyéb és k.m.n. zavarai
33411;R2210;Körülírt duzzanat, képlet a nyakon
33416;R2290;Körülírt duzzanat, képlet, k.m.n.
33438;R2940;Kattanó csípőízület
